名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,血液型,都道府県,都道府県コード,電話番号,携帯,キャリア,カレーの食べ方
松尾 花,まつお はな,matsuo_hana@example.com,女,72,1947/11/14,既婚,B型,鹿児島県,46,017-  3-9963,090-9364-4604,ドコモ,左ルー・せき止め派
坂口 彩華,さかぐち あやか,sakaguchi_ayaka@example.com,女,68,1951/7/15,既婚,A型,埼玉県,11,023-205-2743,080-9080-8320,ドコモ,左ルー・ルー攻め派
堤 禄郎,つつみ ろくろう,tsutsumi_rokurou@example.com,男,84,1935/8/9,既婚,O型,埼玉県,11,068-541-6548,090-4102-9946,ドコモ,ぶっかけ・せき止め派
山田 優一,やまだ ゆういち,yamada_yuuichi@example.com,男,74,1945/7/24,既婚,A型,栃木県,09,065-127- 820,090-6926-9640,ドコモ,左ルー・せき止め派
岩城 竜也,いわき たつや,iwaki_tatsuya@example.com,男,40,1979/6/12,既婚,O型,富山県,16,056-173-4282,080-4003-1442,au,ぶっかけ・ルー攻め派
宮里 恵麻,みやざと えま,miyazato_ema@example.com,女,72,1947/7/8,既婚,A型,兵庫県,28,027-476-9472,080-4547- 172,ドコモ,左ルー・ナン派
岩永 愛菜,いわなが あいな,iwanaga_aina@example.com,女,20,1999/8/13,未婚,A型,北海道,01,062-435-7456,090-1637- 428,au,ぶっかけ・せき止め派
立川 あさみ,たちかわ あさみ,tachikawa_asami@example.com,女,74,1945/4/11,既婚,AB型,大阪府,27,028-626-7210,090-8539-8017,au,右ルー・別口派
山西 夏希,やまにし なつき,yamanishi_natsuki@example.com,女,20,1999/3/12,既婚,O型,大阪府,27,021-909-3655,080-1694-6815,ドコモ,手前ルー・別口派
岩下 獅童,いわした しどう,iwashita_shidou@example.com,男,69,1950/3/9,既婚,A型,岩手県,03,012-364-4614,080-3381-5104,au,左ルー・せき止め派
石田 怜奈,いしだ れいな,ishida_reina@example.com,女,23,1996/6/2,既婚,B型,栃木県,09,063-978- 549,090-7628-2540,au,ぶっかけ・ルー攻め派
井上 沙耶,いのうえ さや,inoue_saya@example.com,女,54,1965/10/1,既婚,A型,福岡県,40,028-954- 155,080-8691-2404,ドコモ,左ルー・ナン派
大平 恵美,おおひら めぐみ,oohira_megumi@example.com,女,15,2004/6/20,未婚,O型,青森県,02,040-867-3959,090-5726-8136,ドコモ,ぶっかけ・混ぜ混ぜ派
中山 恵子,なかやま けいこ,nakayama_keiko@example.com,女,37,1982/9/3,既婚,A型,東京都,13,088-816-3844,090-1401-4105,ドコモ,ぶっかけ・ナン派
神田 美咲,かんだ みさき,kannda_misaki@example.com,女,22,1997/3/7,既婚,O型,岐阜県,21,039-918-7350,090-3401- 274,ドコモ,ぶっかけ・せき止め派
寺脇 将也,てらわき まさや,terawaki_masaya@example.com,男,23,1996/3/13,既婚,O型,東京都,13,097-163-3644,090-7457-9503,au,左ルー・混ぜ混ぜ派
黒川 仁,くろかわ じん,kurokawa_jin@example.com,男,15,2004/6/7,未婚,A型,兵庫県,28,0 2-432-6587,090-1476- 456,ソフトバンク,ぶっかけ・せき止め派
相原 丈史,あいはら たけし,aihara_takeshi@example.com,男,38,1981/3/31,既婚,O型,群馬県,10,084-344-6877,090-7637-2533,au,ぶっかけ・混ぜ混ぜ派
大河内 三郎,おおこうち さぶろう,ookouchi_saburou@example.com,男,73,1946/9/15,既婚,B型,埼玉県,11,0 3-192-3682,090-9479-9189,ソフトバンク,別盛り・別口派
松居 亮,まつい りょう,matsui_ryou@example.com,男,76,1944/2/10,既婚,B型,広島県,34,064- 86-9441,090-4407-5458,ドコモ,奥ルー・別口派
岸本 亮介,きしもと りょうすけ,kishimoto_ryousuke@example.com,男,52,1967/12/5,既婚,B型,愛知県,23,095-128-1302,080-8883-2213,ソフトバンク,左ルー・ルー攻め派
澤田 恵望子,さわだ えみこ,sawada_emiko@example.com,女,33,1986/11/19,既婚,A型,長野県,20,083-217-1341,090-6640-3828,ドコモ,手前ルー・ルー攻め派
落合 華子,おちあい はなこ,ochiai_hanako@example.com,女,81,1938/9/6,既婚,A型,神奈川県,14,022-873-3493,090-1806-8087,ソフトバンク,右ルー・別口派
村岡 メイサ,むらおか めいさ,muraoka_meisa@example.com,女,18,2001/2/28,未婚,AB型,福島県,07,056-284-1740,080-5734-9055,ドコモ,手前ルー・混ぜ混ぜ派
小栗 敏和,おぐり としかず,oguri_toshikazu@example.com,男,53,1966/12/6,既婚,O型,北海道,01,087-269-4517,080-1981-6958,au,奥ルー・せき止め派
大崎 孝太郎,おおさき こうたろう,oosaki_koutarou@example.com,男,74,1945/8/11,既婚,O型,滋賀県,25,054-450-3318,080-5509-8806,ドコモ,右ルー・ルー攻め派
竹原 莉緒,たけはら りお,takehara_rio@example.com,女,38,1982/1/15,既婚,O型,神奈川県,14,039-462-8351,090-8273-2764,ドコモ,ぶっかけ・せき止め派
横川 サンタマリア,よこかわ さんたまりあ,yokokawa_stmaria@example.com,男,23,1996/12/5,既婚,O型,熊本県,43,091-513-2818,090-2492-  93,ドコモ,ぶっかけ・混ぜ混ぜ派
秦 恵子,はた けいこ,hata_keiko@example.com,女,73,1946/11/2,既婚,A型,千葉県,12,068-160-  30,080-8521-3062,ドコモ,ぶっかけ・ルー攻め派
五十嵐 兼,いがらし けん,igarashi_ken@example.com,男,53,1966/3/30,既婚,O型,大阪府,27,012- 66-5982,080- 115-9619,ドコモ,ぶっかけ・せき止め派
船橋 れいな,ふなばし れいな,funabashi_reina@example.com,女,34,1985/9/29,既婚,B型,千葉県,12,037-782-8682,090-8026-2266,ソフトバンク,右ルー・混ぜ混ぜ派
塩沢 一哉,しおざわ かずや,shiozawa_kazuya@example.com,男,68,1951/5/28,既婚,A型,福島県,07,019-378-1152,080- 474-5716,ソフトバンク,左ルー・別口派
椎名 光,しいな ひかる,shiina_hikaru@example.com,女,18,2002/1/20,未婚,O型,愛知県,23,017-563- 387,090- 364-5377,ドコモ,奥ルー・別口派
猪股 みゆき,いのまた みゆき,inomata_miyuki@example.com,女,21,1998/9/21,既婚,O型,愛知県,23,066-318-2298,080-7175-2102,ドコモ,ぶっかけ・ルー攻め派
関根 美優,せきね みゅう,sekine_myuu@example.com,女,83,1936/6/22,既婚,A型,愛知県,23,065-756-9397,080-6870-5121,ドコモ,左ルー・混ぜ混ぜ派
畠中 晃司,はたなか こうじ,hatanaka_kouji@example.com,男,66,1953/5/3,既婚,O型,栃木県,09,033-491-9104,090- 371-1093,au,左ルー・ルー攻め派
石倉 進,いしくら すすむ,ishikura_susumu@example.com,男,73,1946/11/21,既婚,O型,東京都,13,014- 58-3994,080-5192-8907,au,ぶっかけ・せき止め派
野呂 優,のろ ゆう,noro_yuu@example.com,女,61,1958/5/23,既婚,A型,熊本県,43,094-208-9525,090-4332- 712,ドコモ,ぶっかけ・せき止め派
福士 直人,ふくし なおと,fukushi_naoto@example.com,男,35,1984/6/28,既婚,A型,大阪府,27,027-727-2137,090-3379-6531,ドコモ,奥ルー・せき止め派
小畑 幸平,おばた こうへい,obata_kouhei@example.com,男,81,1938/4/13,既婚,A型,兵庫県,28,089-720-1979,090-1969-4829,au,右ルー・別口派
少路 裕次郎,しょうじ ゆうじろう,shouji_yuujirou@example.com,男,68,1952/1/2,既婚,O型,岩手県,03,072-338-7013,090-5211-5841,ソフトバンク,奥ルー・ルー攻め派
彼方 敦,かなた あつし,kanata_atsushi@example.com,男,52,1967/7/16,既婚,O型,沖縄県,47,059-252- 870,080-5742-7872,ドコモ,ぶっかけ・せき止め派
津川 コウ,つがわ こう,tsugawa_kou@example.com,女,27,1992/3/18,未婚,AB型,青森県,02,088-891-8665,080-6380-3049,ドコモ,奥ルー・せき止め派
加藤 莉沙,かとう りさ,katou_risa@example.com,女,45,1974/10/24,未婚,B型,北海道,01,022-972-1724,080-4626-9848,ソフトバンク,右ルー・ルー攻め派
佐藤 敏也,さとう としや,satou_toshiya@example.com,男,24,1995/5/11,未婚,O型,熊本県,43,065-871- 744,080-2976-9843,ドコモ,ぶっかけ・混ぜ混ぜ派
蒼井 沙知絵,あおい さちえ,aoi_sachie@example.com,女,43,1976/4/23,既婚,B型,兵庫県,28,023-294- 750,080-7648-7719,au,ぶっかけ・別口派
大平 さゆり,おおひら さゆり,oohira_sayuri@example.com,女,30,1989/3/23,既婚,A型,三重県,24,024-449-4958,080-2039-6050,ドコモ,左ルー・別口派
大山 聡,おおやま さとし,ooyama_satoshi@example.com,男,56,1963/3/31,既婚,O型,北海道,01,047- 91-9875,090-5884-6118,ドコモ,ぶっかけ・ナン派
大谷 亮介,おおたに りょうすけ,ootani_ryousuke@example.com,男,29,1990/11/23,既婚,O型,千葉県,12,024-455-7440,080-5399-8984,au,左ルー・せき止め派
亀井 勇一,かめい ゆういち,kamei_yuuichi@example.com,男,14,2005/3/7,未婚,B型,秋田県,05,025-942-3601,090-6337- 961,ドコモ,左ルー・ルー攻め派
及川 惇,おいかわ じゅん,oikawa_jun@example.com,男,15,2005/1/27,未婚,A型,大阪府,27,065-354-6892,090-8677- 274,au,ぶっかけ・せき止め派
関 ヒカル,せき ひかる,seki_hikaru@example.com,女,69,1950/6/19,既婚,O型,京都府,26,058- 95-6072,080-2454-7592,ソフトバンク,ぶっかけ・せき止め派
三船 佑,みふね たすく,mifune_tasuku@example.com,男,43,1976/10/1,既婚,AB型,山形県,06,039-718-7537,080-7515-5208,ドコモ,ぶっかけ・ルー攻め派
菅野 結衣,すがの ゆい,sugano_yui@example.com,女,67,1952/3/16,既婚,A型,大阪府,27,099-891-5063,080-9393-7763,ドコモ,ぶっかけ・ルー攻め派
大井 美優,おおい みゅう,ooi_myuu@example.com,女,55,1964/9/27,既婚,B型,愛知県,23,089-321-5277,090-8003-6399,au,左ルー・混ぜ混ぜ派
門脇 雅彦,かどわき まさひこ,kadowaki_masahiko@example.com,男,72,1947/6/1,既婚,O型,鹿児島県,46,051-860-1441,090-1025-5128,ドコモ,左ルー・せき止め派
山根 里穂,やまね りほ,yamane_riho@example.com,女,83,1936/11/6,既婚,B型,神奈川県,14,021-166-3549,080-8872- 161,ドコモ,奥ルー・せき止め派
奥田 華子,おくだ はなこ,okuda_hanako@example.com,女,13,2006/11/26,未婚,O型,東京都,13,040-761-7906,080-2321-3731,au,ぶっかけ・ルー攻め派
桜田 ひとり,さくらだ ひとり,sakurada_hitori@example.com,男,10,2009/8/11,未婚,A型,茨城県,08,017-110-7984,080- 139-3262,ツーカー,ぶっかけ・ナン派
諏訪 あさみ,すわ あさみ,suwa_asami@example.com,女,61,1958/11/29,既婚,A型,沖縄県,47,089- 12-3804,090-7323-3986,ドコモ,ぶっかけ・別口派
七瀬 優,ななせ ゆう,nanase_yuu@example.com,女,28,1991/4/27,既婚,O型,三重県,24,063-838-4226,080-9667-6394,ドコモ,手前ルー・せき止め派
八十田 さゆり,やそだ さゆり,yasoda_sayuri@example.com,女,53,1966/7/13,既婚,B型,埼玉県,11,030-831-1429,090-3936-6770,au,奥ルー・ナン派
川合 あさみ,かわい あさみ,kawai_asami@example.com,女,27,1992/5/10,未婚,A型,大阪府,27,060-823-8324,080-6344-3708,ドコモ,右ルー・別口派
大竹 芳正,おおたけ よしまさ,ootake_yoshimasa@example.com,男,17,2002/5/21,未婚,A型,岩手県,03,0 5-947-2608,080-9029-5945,ドコモ,奥ルー・混ぜ混ぜ派
瀬尾 ひかり,せお ひかり,seo_hikari@example.com,女,31,1988/7/11,既婚,O型,大阪府,27,093-527-2855,090-6243-8783,ドコモ,ぶっかけ・ルー攻め派
北村 みき,きたむら みき,kitamura_miki@example.com,女,19,2000/10/10,未婚,A型,兵庫県,28,082- 57-1946,080- 230- 893,au,ぶっかけ・せき止め派
宮部 秀樹,みやべ ひでき,miyabe_hideki@example.com,男,32,1987/10/15,未婚,A型,東京都,13,050-144-3254,080-1902-9900,ドコモ,右ルー・せき止め派
