名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,血液型,都道府県,電話番号,携帯,キャリア,カレーの食べ方
富永 恵梨香,とみなが えりか,tominaga_erika@example.com,女,76,1943/3/2,既婚,O型,神奈川県,055-456-  74,090-6184-5836,au,左ルー・ルー攻め派
岩沢 涼,いわさわ りょう,iwasawa_ryou@example.com,女,70,1949/11/7,既婚,A型,広島県,098-704- 909,080-3742-9620,ドコモ,ぶっかけ・ルー攻め派
永瀬 エリカ,ながせ えりか,nagase_erika@example.com,女,33,1987/1/21,既婚,O型,愛媛県,044-132-7989,080-1536-1443,ソフトバンク,左ルー・せき止め派
古田 桃子,ふるた ももこ,furuta_momoko@example.com,女,51,1968/6/7,既婚,AB型,北海道,022-265-3240,090-6567-4839,ドコモ,ぶっかけ・混ぜ混ぜ派
池内 七世,いけうち ななせ,ikeuchi_nanase@example.com,女,26,1993/4/23,未婚,O型,福岡県,0 6-667-9218,090-6476-8708,au,奥ルー・せき止め派
福山 愛,ふくやま あい,fukuyama_ai@example.com,女,43,1976/12/1,既婚,B型,京都府,056-372-8425,080-   9-8340,ドコモ,ぶっかけ・ルー攻め派
和泉 和香,わいずみ わか,waizumi_waka@example.com,女,75,1944/8/1,既婚,B型,京都府,075-670-6321,080-3522-8048,au,ぶっかけ・混ぜ混ぜ派
溝口 豊,みぞぐち ゆたか,mizoguchi_yutaka@example.com,男,28,1991/5/10,未婚,A型,神奈川県,040-133-6926,090-1635- 628,au,ぶっかけ・ルー攻め派
高野 小百合,たかの さゆり,takano_sayuri@example.com,女,72,1947/5/6,既婚,A型,沖縄県,045-911-4750,090- 296-6011,ソフトバンク,ぶっかけ・ルー攻め派
浜口 あや子,はまぐち あやこ,hamaguchi_ayako@example.com,女,32,1987/4/26,既婚,A型,大阪府,0 2- 34-9834,080-3590- 595,au,ぶっかけ・せき止め派
須藤 敦,すどう あつし,sudou_atsushi@example.com,男,47,1973/1/27,既婚,B型,茨城県,036-462-8740,090-5821-9466,au,ぶっかけ・せき止め派
梅沢 寛治,うめざわ かんじ,umezawa_kanji@example.com,男,61,1958/8/18,既婚,O型,群馬県,060-681- 545,080-1671-7704,ドコモ,左ルー・ルー攻め派
細谷 奈月,ほそや なつき,hosoya_natsuki@example.com,女,43,1976/4/22,未婚,O型,福島県,026-540-4879,080-1600-7419,ドコモ,左ルー・ナン派
阪本 あや子,さかもと あやこ,sakamoto_ayako@example.com,女,79,1940/8/7,既婚,O型,広島県,074-606-5525,080- 317-3814,au,左ルー・せき止め派
今 敦,こん あつし,kon_atsushi@example.com,男,56,1963/10/21,既婚,O型,北海道,060-911-9288,080-9378-  57,ソフトバンク,右ルー・混ぜ混ぜ派
笹原 あい,ささはら あい,sasahara_ai@example.com,女,39,1980/6/28,既婚,O型,福岡県,081-732-6796,090-4234-1521,ソフトバンク,左ルー・混ぜ混ぜ派
安田 康文,やすだ やすふみ,yasuda_yasufumi@example.com,男,20,1999/10/5,未婚,B型,東京都,026-905-1123,090- 384-8347,au,奥ルー・せき止め派
大井 昌代,おおい まさよ,ooi_masayo@example.com,女,79,1940/7/19,既婚,O型,栃木県,086-343-3251,080-3792-3929,ドコモ,奥ルー・ルー攻め派
土谷 高史,つちや たかし,tsuchiya_takashi@example.com,男,60,1959/3/2,既婚,AB型,三重県,087- 98-4906,090-1894-7618,ドコモ,ぶっかけ・別口派
谷本 育子,たにもと いくこ,tanimoto_ikuko@example.com,女,66,1953/7/14,既婚,B型,東京都,0 3-292-4896,090-4550- 945,ソフトバンク,右ルー・ルー攻め派
小沢 フミヤ,おざわ ふみや,ozawa_fumiya@example.com,男,79,1940/2/26,既婚,AB型,北海道,0 6-143-4013,090-1561-5947,au,左ルー・別口派
小田 綾,おだ あや,oda_aya@example.com,女,24,1995/3/9,既婚,O型,千葉県,081-291- 719,080-1396-3426,ソフトバンク,左ルー・せき止め派
松岡 さやか,まつおか さやか,matsuoka_sayaka@example.com,女,60,1959/4/28,既婚,A型,島根県,0  -209-  46,080-3060- 578,ドコモ,別盛り・せき止め派
玉置 聖陽,たまき まさあき,tamaki_masaaki@example.com,男,78,1941/6/15,既婚,O型,神奈川県,032-301-5801,090-9110-8086,ソフトバンク,手前ルー・ルー攻め派
守屋 友以乃,もりや ゆいの,moriya_yuino@example.com,女,41,1978/5/5,既婚,AB型,神奈川県,043-225-9764,080-3323-5065,au,ぶっかけ・ルー攻め派
野口 隼士,のぐち しゅんじ,noguchi_shunji@example.com,男,43,1976/9/10,既婚,A型,愛知県,045-579-4470,090-3982-4262,ドコモ,手前ルー・せき止め派
丸田 賢治,まるた けんじ,maruta_kenji@example.com,男,76,1943/9/2,既婚,A型,京都府,023-735-9350,080-4412-5634,au,左ルー・混ぜ混ぜ派
浜崎 光臣,はまさき みつおみ,hamasaki_mitsuomi@example.com,男,78,1941/3/30,既婚,B型,千葉県,077-631-7403,090-3719-9483,ドコモ,手前ルー・せき止め派
大原 寛治,おおはら かんじ,oohara_kanji@example.com,男,50,1969/3/31,既婚,O型,兵庫県,043-957-3702,080-6749-9925,ドコモ,左ルー・せき止め派
岩瀬 淳,いわせ あつし,iwase_atsushi@example.com,男,18,2001/4/29,未婚,A型,大阪府,029-923- 212,080-7501-3503,ドコモ,右ルー・別口派
大森 美佐,おおもり みさ,oomori_misa@example.com,女,60,1959/4/13,既婚,B型,宮城県,0 4-151-3275,090-4985-9997,ドコモ,左ルー・ルー攻め派
深田 莉沙,ふかだ りさ,fukada_risa@example.com,女,48,1972/1/15,既婚,O型,高知県,025-901-4928,080- 307- 162,ドコモ,ぶっかけ・ルー攻め派
瀬戸内 惇,せとうち じゅん,setouchi_jun@example.com,男,49,1971/1/22,既婚,A型,埼玉県,099- 22-7365,080-6120-9231,au,奥ルー・別口派
水田 啓介,みずた けいすけ,mizuta_keisuke@example.com,男,28,1991/9/11,既婚,A型,東京都,083-886-4319,080-6971-4139,ドコモ,ぶっかけ・ルー攻め派
湊 真吾,みなと しんご,minato_shingo@example.com,男,55,1964/8/31,既婚,A型,滋賀県,096-648-7996,080-4889-9475,ドコモ,ぶっかけ・混ぜ混ぜ派
徳田 美優,とくた みゅう,tokuta_myuu@example.com,女,73,1946/4/1,既婚,B型,島根県,060-279-7386,090-4876-5716,ドコモ,ぶっかけ・ルー攻め派
津田 華子,つだ はなこ,tsuda_hanako@example.com,女,39,1980/12/4,既婚,O型,兵庫県,089- 53-3149,090-9220-8528,ドコモ,ぶっかけ・ルー攻め派
神山 真希,かみやま まき,kamiyama_maki@example.com,女,80,1939/5/20,既婚,O型,埼玉県,096-123-8000,080-8676-4047,au,奥ルー・ルー攻め派
渡部 ひろみ,わたべ ひろみ,watabe_hiromi@example.com,女,40,1980/1/10,未婚,A型,和歌山県,011- 24- 623,090- 118-7123,ドコモ,左ルー・せき止め派
古谷 雅彦,ふるたに まさひこ,furutani_masahiko@example.com,男,59,1961/1/1,既婚,AB型,京都府,099-751-5626,090-4093-1541,au,左ルー・混ぜ混ぜ派
大内 翔,おおうち しょう,oouchi_shou@example.com,男,21,1999/2/4,未婚,B型,東京都,081-179-4281,080-2048-4914,ドコモ,ぶっかけ・せき止め派
河本 璃子,こうもと りこ,koumoto_riko@example.com,女,41,1978/5/31,未婚,O型,奈良県,063-422-3228,090-1869-3646,ドコモ,奥ルー・混ぜ混ぜ派
北田 圭,きただ けい,kitada_kei@example.com,男,34,1985/5/28,既婚,O型,茨城県,0 2-638-2979,090-8042-2744,au,ぶっかけ・せき止め派
馬場 しぼり,ばば しぼり,baba_shibori@example.com,女,41,1978/12/7,既婚,B型,福岡県,067-156-9021,090-6526-8716,au,左ルー・別口派
桜井 鉄洋,さくらい てつひろ,sakurai_tetsuhiro@example.com,男,23,1996/6/30,既婚,A型,愛知県,0 8-824-9585,090-6824-1721,au,左ルー・混ぜ混ぜ派
水上 隆,みずかみ たかし,mizukami_takashi@example.com,男,29,1991/2/11,未婚,AB型,茨城県,0 5-221- 627,080-8179-1006,au,ぶっかけ・別口派
鶴岡 友香,つるおか ともか,tsuruoka_tomoka@example.com,女,58,1961/4/18,既婚,B型,岩手県,082-417-2248,080- 538-8282,ドコモ,左ルー・別口派
薬師丸 理紗,やくしまる りさ,yakushimaru_risa@example.com,女,57,1962/11/9,既婚,A型,埼玉県,047-461-9132,090-4118-1641,ソフトバンク,手前ルー・ルー攻め派
塚本 ひとみ,つかもと ひとみ,tsukamoto_hitomi@example.com,女,57,1962/10/9,既婚,A型,茨城県,079-679-4720,080-3105-8349,ソフトバンク,右ルー・ルー攻め派
鈴木 美和子,すずき みわこ,suzuki_miwako@example.com,女,65,1954/12/20,既婚,A型,大阪府,017- 62-3026,090-4903-9870,ドコモ,左ルー・別口派
鳥居 奈央,とりい なお,torii_nao@example.com,女,31,1988/12/31,既婚,A型,北海道,016-168-8140,080-1654-9159,au,左ルー・せき止め派
川本 郁恵,かわもと いくえ,kawamoto_ikue@example.com,女,49,1970/6/11,既婚,A型,東京都,040-366- 424,090-1903-8569,au,左ルー・混ぜ混ぜ派
桜井 広之,さくらい ひろゆき,sakurai_hiroyuki@example.com,男,51,1968/6/14,既婚,B型,長野県,028-272-1627,080-2325-6850,ドコモ,左ルー・ルー攻め派
