名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,血液型,都道府県,電話番号,携帯,キャリア,カレーの食べ方
岡山 花緑,おかやま かろく,okayama_karoku@example.com,男,51,1968/9/20,既婚,AB型,新潟県,044-312-6989,090-1542-6590,au,右ルー・混ぜ混ぜ派
近藤 あい,こんどう あい,konndou_ai@example.com,女,58,1961/7/14,既婚,O型,茨城県,087-107-7353,090-1936-8886,ソフトバンク,右ルー・混ぜ混ぜ派
河野 徹,かわの とおる,kawano_tohru@example.com,男,41,1978/10/3,既婚,A型,福岡県,0 6-589-4483,080-5387-9231,ドコモ,左ルー・混ぜ混ぜ派
小松 敏和,こまつ としかず,komatsu_toshikazu@example.com,男,80,1939/10/6,既婚,AB型,岐阜県,034-619-2130,080-2085-8519,ドコモ,ぶっかけ・混ぜ混ぜ派
高岡 由美子,たかおか ゆみこ,takaoka_yumiko@example.com,女,45,1974/11/21,既婚,B型,熊本県,023-285-6239,090-5172-3559,ドコモ,手前ルー・混ぜ混ぜ派
小宮 翔太,こみや しょうた,komiya_shouta@example.com,男,52,1968/1/30,既婚,O型,沖縄県,010-186-5143,080-1787-6182,au,左ルー・せき止め派
雨宮 六郎,あまみや ろくろう,amamiya_rokurou@example.com,男,55,1964/6/3,既婚,B型,神奈川県,056-344-4927,090-1487-8093,ドコモ,左ルー・混ぜ混ぜ派
山岸 メイサ,やまぎし めいさ,yamagishi_meisa@example.com,女,12,2007/4/10,未婚,A型,福岡県,054-825-9473,090- 710-3496,ドコモ,手前ルー・ルー攻め派
二宮 美優,にのみや みゅう,ninomiya_myuu@example.com,女,34,1985/4/20,未婚,B型,山形県,036-910-6314,080-1081-2584,ドコモ,左ルー・別口派
柴山 美菜,しばやま みな,shibayama_mina@example.com,女,59,1960/6/27,既婚,A型,千葉県,097-359- 396,090-2053-7202,ドコモ,ぶっかけ・ルー攻め派
長谷川 芳正,はせがわ よしまさ,hasegawa_yoshimasa@example.com,男,25,1994/2/27,未婚,A型,山口県,034-408- 173,090-2729- 334,ドコモ,ぶっかけ・せき止め派
河合 草太,かわい そうた,kawai_souta@example.com,男,42,1977/5/16,既婚,B型,岐阜県,084-412-6456,080-1948-6498,ドコモ,手前ルー・せき止め派
玉木 美菜,たまき みな,tamaki_mina@example.com,女,36,1983/7/25,既婚,A型,愛知県,030-317- 385,090-1085-5357,au,奥ルー・別口派
細川 恵美,ほそかわ めぐみ,hosokawa_megumi@example.com,女,65,1954/9/28,既婚,A型,京都府,021-435-1820,080-6758-5077,au,左ルー・せき止め派
杉本 由宇,すぎもと ゆう,sugimoto_yuu@example.com,女,53,1966/8/5,既婚,AB型,熊本県,073-646-9530,080-6740-5544,ドコモ,奥ルー・せき止め派
有田 里奈,ありた りな,arita_rina@example.com,女,80,1939/9/5,既婚,A型,群馬県,063-613-6875,090-6180-4243,ドコモ,奥ルー・せき止め派
山崎 真希,やまざき まき,yamazaki_maki@example.com,女,74,1945/9/25,既婚,A型,大阪府,012-639-3218,090-9893-6523,au,右ルー・せき止め派
児島 みゆき,こじま みゆき,kojima_miyuki@example.com,女,64,1955/5/22,既婚,O型,愛知県,074-557-2602,090-1263- 966,ソフトバンク,左ルー・別口派
山西 徹,やまにし とおる,yamanishi_tooru@example.com,男,46,1973/6/15,既婚,AB型,千葉県,039-186-5535,080- 568-6332,ドコモ,ぶっかけ・せき止め派
中根 一樹,なかね かずき,nakane_kazuki@example.com,男,54,1965/10/1,既婚,O型,東京都,036-735-6053,080-  44-7526,ドコモ,ぶっかけ・ルー攻め派
若林 璃奈子,わかばやし りなこ,wakabayashi_rinako@example.com,女,77,1942/3/17,既婚,A型,神奈川県,062-804-1293,090- 472-4511,ドコモ,右ルー・ルー攻め派
須田 勇介,すだ ゆうすけ,suda_yuusuke@example.com,男,73,1946/11/13,既婚,O型,千葉県,095-611-1226,080-4661-6280,ドコモ,手前ルー・せき止め派
小田 友以乃,おだ ゆいの,oda_yuino@example.com,女,61,1958/11/18,既婚,O型,兵庫県,020-566- 675,080- 412-3199,ソフトバンク,ぶっかけ・せき止め派
天野 くるみ,あまの くるみ,amano_kurumi@example.com,女,35,1984/7/20,既婚,A型,東京都,025-910-5576,080-1767-8556,ドコモ,ぶっかけ・混ぜ混ぜ派
奥野 晃司,おくの こうじ,okuno_kouji@example.com,男,37,1982/11/4,既婚,AB型,兵庫県,039-697-4602,090-2725-9586,ソフトバンク,左ルー・別口派
本間 翔太,ほんま しょうた,honma_shouta@example.com,男,24,1995/9/22,未婚,AB型,福岡県,0 8- 73- 222,080-8130-6750,ドコモ,左ルー・せき止め派
野原 悟志,のはら さとし,nohara_satoshi@example.com,男,36,1983/7/16,既婚,O型,滋賀県,075-339-6014,090-7924-2753,ソフトバンク,ぶっかけ・せき止め派
福士 竜也,ふくし たつや,fukushi_tatsuya@example.com,男,78,1941/11/21,既婚,A型,埼玉県,0 7-960- 276,080-8856-9721,au,左ルー・せき止め派
浜田 なつみ,はまだ なつみ,hamada_natsumi@example.com,女,39,1980/7/20,既婚,A型,宮城県,015-988-7148,080-8493-1135,ドコモ,右ルー・せき止め派
末吉 あや子,すえきち あやこ,suekichi_ayako@example.com,女,36,1983/5/18,未婚,A型,大阪府,087-748-4257,080-3732-7390,ドコモ,左ルー・せき止め派
田尻 奈央,たじり なお,tajiri_nao@example.com,女,75,1944/9/26,既婚,O型,東京都,0 5-418-7831,090-5526-9656,ドコモ,左ルー・ルー攻め派
小川 美佐,おがわ みさ,ogawa_misa@example.com,女,22,1997/9/21,未婚,AB型,京都府,049-102-8923,080-8678-6563,ツーカー,左ルー・ナン派
日高 太朗,ひだか たろう,hidaka_tarou@example.com,男,73,1946/10/9,既婚,B型,兵庫県,093-361-4321,090-3600-8157,au,右ルー・混ぜ混ぜ派
田島 満,たじま みつる,tajima_mitsuru@example.com,男,77,1942/7/26,既婚,AB型,茨城県,034- 89-3535,090- 317-2120,ドコモ,右ルー・混ぜ混ぜ派
大谷 恵梨香,おおたに えりか,ootani_erika@example.com,女,14,2006/2/13,未婚,O型,福岡県,035-418-4881,080-4079-9817,ドコモ,右ルー・混ぜ混ぜ派
影山 りえ,かげやま りえ,kageyama_rie@example.com,女,45,1974/6/17,既婚,A型,群馬県,021-764-5740,090- 575-1339,au,奥ルー・混ぜ混ぜ派
岸 美希,きし みき,kishi_miki@example.com,女,45,1974/12/5,既婚,A型,福岡県,041-757-2282,090-7448-3007,ドコモ,ぶっかけ・せき止め派
山口 竜也,やまぐち たつや,yamaguchi_tatsuya@example.com,男,68,1951/11/18,既婚,O型,北海道,094-445- 253,080-8683-2219,au,ぶっかけ・別口派
坪井 智花,つぼい ともか,tsuboi_tomoka@example.com,女,77,1943/2/4,既婚,O型,長野県,021-680-8533,080-7513-5784,ドコモ,手前ルー・せき止め派
五味 ひろ子,ごみ ひろこ,gomi_hiroko@example.com,女,45,1975/1/28,既婚,O型,沖縄県,042-123-4537,090-3263-7585,au,左ルー・せき止め派
矢部 千夏,やべ ちなつ,yabe_chinatsu@example.com,女,27,1993/1/12,未婚,O型,東京都,0  -675-8366,080-5863-9767,au,右ルー・混ぜ混ぜ派
